"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2021","29.60","29.42","29.90","29.35","963.64K","-1.30%"
"Sep 15, 2021","29.99","30.31","30.38","29.60","1.10M","-0.99%"
"Sep 14, 2021","30.29","29.49","30.55","29.41","1.40M","3.41%"
"Sep 13, 2021","29.29","29.10","29.35","29.04","998.53K","1.91%"
"Sep 10, 2021","28.74","29.04","29.18","28.58","1.10M","-2.58%"
"Sep 09, 2021","29.50","28.62","29.59","28.44","1.36M","3.55%"
"Sep 08, 2021","28.49","28.32","28.62","28.17","964.69K","2.04%"
"Sep 07, 2021","27.92","28.10","28.23","27.76","1.39M","-2.62%"
"Sep 03, 2021","28.67","28.69","28.82","28.50","884.32K","-2.58%"
"Sep 02, 2021","29.43","29.27","29.44","28.98","898.65K","1.31%"
"Sep 01, 2021","29.05","29.28","29.33","28.82","1.26M","0.31%"
"Aug 31, 2021","28.96","29.39","29.65","28.74","1.76M","-1.86%"
"Aug 30, 2021","29.51","29.02","29.55","28.99","1.14M","0.89%"
"Aug 27, 2021","29.25","28.76","29.31","28.64","1.74M","1.67%"
"Aug 26, 2021","28.77","28.41","28.77","28.17","3.20M","1.05%"
"Aug 25, 2021","28.47","29.19","29.25","28.21","1.20M","-2.63%"
"Aug 24, 2021","29.24","29.49","29.67","29.22","1.23M","-2.17%"
"Aug 23, 2021","29.89","29.77","29.93","29.60","1.10M","-0.30%"
"Aug 20, 2021","29.98","29.99","30.13","29.71","1.38M","0.17%"
"Aug 19, 2021","29.93","29.79","29.93","29.55","2.25M","2.19%"
"Aug 18, 2021","29.29","28.93","29.33","28.75","2.03M","1.00%"
"Aug 17, 2021","29.00","29.01","29.33","28.88","1.19M","0.03%"
"Aug 16, 2021","28.99","29.20","29.67","28.96","1.28M","0.69%"
"Aug 13, 2021","28.79","27.87","28.81","27.83","2.08M","4.50%"
"Aug 12, 2021","27.55","27.40","27.61","27.07","1.98M","-0.29%"
"Aug 11, 2021","27.63","27.61","28.06","27.22","2.75M","-0.29%"
"Aug 10, 2021","27.71","28.26","28.26","27.70","1.76M","-1.35%"
"Aug 09, 2021","28.09","28.63","28.84","28.08","1.97M","-1.16%"
"Aug 08, 2021","28.42","28.42","28.42","28.42","-","0.00%"
"Aug 07, 2021","28.42","28.42","28.42","28.42","-","0.00%"
"Aug 06, 2021","28.42","28.71","28.98","28.35","3.10M","-4.98%"
"Aug 05, 2021","29.91","30.17","30.26","29.75","1.44M","-1.48%"
"Aug 04, 2021","30.36","30.63","30.82","29.58","1.89M","0.60%"
"Aug 03, 2021","30.18","30.17","30.47","29.97","1.76M","0.23%"
"Aug 02, 2021","30.11","29.42","30.44","29.27","2.32M","2.55%"
"Jul 30, 2021","29.36","29.14","29.47","29.10","2.85M","1.42%"
"Jul 29, 2021","28.95","28.91","29.18","28.78","1.49M","-1.66%"
"Jul 28, 2021","29.44","28.87","29.44","28.80","2.38M","-0.03%"
"Jul 27, 2021","29.45","29.28","29.46","29.07","1.97M","3.15%"
"Jul 26, 2021","28.55","29.03","29.10","28.44","1.48M","-0.90%"
"Jul 23, 2021","28.81","28.46","28.88","28.42","1.33M","-1.77%"
"Jul 22, 2021","29.33","28.55","29.55","28.54","1.70M","2.66%"
"Jul 21, 2021","28.57","28.64","28.80","28.06","1.98M","-3.84%"
"Jul 20, 2021","29.71","31.24","31.36","29.56","2.05M","-2.81%"
