"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2021","147.45","145.83","148.10","143.25","26.29M","0.20%"
"Sep 15, 2021","147.16","144.60","147.55","141.80","27.95M","2.22%"
"Sep 14, 2021","143.97","147.25","147.78","142.83","29.81M","-0.86%"
"Sep 13, 2021","145.22","148.37","148.70","142.78","38.89M","-0.23%"
"Sep 10, 2021","145.55","151.00","151.85","145.11","34.61M","-2.25%"
"Sep 09, 2021","148.90","150.68","152.07","148.64","27.64M","-1.07%"
"Sep 08, 2021","150.51","151.79","151.79","147.77","31.71M","-1.03%"
"Sep 07, 2021","152.07","151.67","152.86","150.16","22.59M","0.41%"
"Sep 03, 2021","151.45","148.70","151.94","148.66","23.32M","0.90%"
"Sep 02, 2021","150.10","151.95","152.34","148.60","23.68M","-0.14%"
"Sep 01, 2021","150.31","150.92","152.72","150.08","23.89M","0.55%"
"Aug 31, 2021","149.49","150.22","150.30","147.69","22.82M","-0.28%"
"Aug 30, 2021","149.91","146.01","150.52","146.01","22.82M","3.31%"
"Aug 27, 2021","145.10","141.69","145.60","141.14","23.08M","2.92%"
"Aug 26, 2021","140.98","142.77","143.49","140.49","26.75M","-1.69%"
"Aug 25, 2021","143.41","143.62","144.40","142.63","19.03M","0.11%"
"Aug 24, 2021","143.25","142.76","143.94","142.09","18.17M","0.99%"
"Aug 23, 2021","141.85","137.16","142.69","137.04","24.13M","4.46%"
"Aug 20, 2021","135.80","132.95","136.27","132.58","31.27M","3.09%"
"Aug 19, 2021","131.73","127.55","133.60","127.55","40.81M","1.42%"
"Aug 18, 2021","129.88","132.89","134.71","129.54","32.52M","-2.91%"
"Aug 17, 2021","133.77","134.21","135.33","130.98","41.60M","-2.63%"
"Aug 16, 2021","137.38","135.94","137.39","131.59","30.66M","0.18%"
"Aug 13, 2021","137.14","136.18","137.61","135.63","18.32M","1.00%"
"Aug 12, 2021","135.78","133.78","136.20","132.26","19.91M","1.04%"
"Aug 11, 2021","134.38","136.47","137.02","132.85","23.30M","-0.54%"
"Aug 10, 2021","135.11","137.82","138.08","133.74","26.54M","-1.49%"
"Aug 09, 2021","137.16","136.93","137.78","135.68","17.11M","0.54%"
"Aug 06, 2021","136.43","136.79","137.93","135.15","21.58M","-1.30%"
"Aug 05, 2021","138.23","136.56","138.43","135.87","19.34M","1.88%"
"Aug 04, 2021","135.68","135.10","136.75","133.83","24.21M","0.50%"
"Aug 03, 2021","135.01","133.54","135.15","129.90","31.71M","1.74%"
"Aug 02, 2021","132.70","134.61","135.19","132.09","27.28M","-0.03%"
"Jul 30, 2021","132.74","130.35","133.35","130.27","28.28M","-1.50%"
"Jul 29, 2021","134.76","133.47","136.12","133.47","22.16M","0.49%"
"Jul 28, 2021","134.10","133.82","135.81","131.31","35.99M","1.09%"
"Jul 27, 2021","132.65","136.83","136.83","127.88","44.70M","-3.27%"
"Jul 26, 2021","137.13","135.97","137.56","135.05","21.49M","0.42%"
"Jul 23, 2021","136.56","133.70","137.11","132.29","25.97M","3.32%"
"Jul 22, 2021","132.17","129.85","132.20","129.84","23.74M","2.10%"
"Jul 21, 2021","129.45","126.31","129.59","126.00","20.44M","2.28%"
"Jul 20, 2021","126.56","123.44","128.30","121.55","30.39M","3.30%"
"Jul 19, 2021","122.52","121.81","123.00","119.67","50.57M","-2.40%"
"Jul 16, 2021","125.53","129.65","130.71","125.17","31.85M","-2.46%"
"Jul 15, 2021","128.69","131.26","131.53","126.48","34.30M","-2.07%"
"Jul 14, 2021","131.41","133.35","134.07","130.55","34.01M","0.54%"
"Jul 13, 2021","130.70","130.38","134.05","129.82","29.86M","-0.05%"
"Jul 12, 2021","130.77","130.88","131.24","129.06","21.78M","1.25%"
"Jul 09, 2021","129.15","126.28","129.80","125.63","23.22M","1.69%"
"Jul 08, 2021","127.00","123.17","127.84","122.35","38.13M","-1.73%"
"Jul 07, 2021","129.24","130.86","131.21","127.19","28.82M","0.64%"
"Jul 06, 2021","128.42","127.54","128.74","124.52","27.40M","1.34%"
"Jul 02, 2021","126.72","124.64","127.15","124.38","23.38M","3.39%"
"Jul 01, 2021","122.56","122.03","123.13","120.66","20.96M","0.05%"
"Jun 30, 2021","122.50","122.71","123.26","121.85","20.14M","-0.44%"
"Jun 29, 2021","123.04","121.56","123.08","120.67","18.64M","1.13%"
"Jun 28, 2021","121.67","118.85","121.87","118.75","22.20M","3.54%"
"Jun 25, 2021","117.51","118.49","118.75","116.85","21.75M","-0.31%"
"Jun 24, 2021","117.88","117.78","119.48","117.21","23.42M","1.84%"
"Jun 23, 2021","115.75","115.56","116.95","114.93","23.50M","0.17%"
"Jun 22, 2021","115.55","112.31","116.04","112.04","25.89M","2.79%"
"Jun 21, 2021","112.41","110.63","112.80","108.39","26.93M","1.83%"
"Jun 18, 2021","110.39","111.61","112.55","109.68","35.72M","-2.39%"
"Jun 17, 2021","113.09","107.95","114.04","107.95","36.08M","3.73%"
"Jun 16, 2021","109.02","110.66","111.67","105.55","39.44M","-1.07%"
"Jun 15, 2021","110.20","112.05","112.32","109.47","22.53M","-1.85%"
"Jun 14, 2021","112.28","109.58","112.28","108.60","22.71M","2.80%"
"Jun 11, 2021","109.22","108.42","109.24","107.76","17.08M","0.79%"
"Jun 10, 2021","108.36","105.43","108.50","105.00","29.09M","3.06%"
"Jun 09, 2021","105.14","106.35","107.09","104.94","19.45M","0.11%"
"Jun 08, 2021","105.02","106.54","107.40","103.46","23.24M","0.11%"
"Jun 07, 2021","104.90","103.38","104.96","102.82","15.55M","0.88%"
"Jun 04, 2021","103.98","100.63","104.39","100.53","22.79M","5.13%"
"Jun 03, 2021","98.91","99.51","100.65","97.40","30.26M","-3.14%"
"Jun 02, 2021","102.12","101.93","102.95","100.53","20.79M","0.52%"
"Jun 01, 2021","101.59","103.85","104.30","100.29","25.64M","-0.97%"
"May 28, 2021","102.59","102.78","104.10","102.30","20.46M","0.97%"
"May 27, 2021","101.60","102.41","103.14","101.48","20.80M","-1.17%"
"May 26, 2021","102.80","102.36","103.23","101.75","19.51M","1.01%"
"May 25, 2021","101.77","102.79","103.41","100.64","26.68M","0.48%"
"May 24, 2021","101.28","98.54","102.34","98.25","23.05M","5.01%"
"May 21, 2021","96.45","99.54","99.93","96.11","32.03M","-1.65%"
"May 20, 2021","98.07","94.07","98.84","93.88","34.81M","5.78%"
"May 19, 2021","92.71","87.49","92.92","87.49","47.97M","0.37%"
"May 18, 2021","92.37","95.28","96.25","92.22","32.92M","-2.10%"
"May 17, 2021","94.35","94.52","95.10","91.73","34.64M","-1.69%"
