Date,Close
1972-12-29,100
1973-01-31,99.85
1973-02-28,100.17
1973-03-30,99.91
1973-04-30,100.7
1973-05-31,100.53
1973-06-29,100.08
1973-07-31,96.5
1973-08-31,98.36
1973-09-28,101.81
1973-10-31,102.43
1973-11-30,102.49
1973-12-31,100.88
1974-01-31,102
1974-02-28,101.56
1974-03-29,98.61
1974-04-30,97.05
1974-05-31,97.83
1974-06-28,97
1974-07-31,96.04
1974-08-30,93.69
1974-09-30,95.2
1974-10-31,100.08
1974-11-29,103.25
1974-12-31,104.27
1975-01-31,106.47
1975-02-28,108.44
1975-03-31,106.01
1975-04-30,104.26
1975-05-30,106.48
1975-06-30,108.84
1975-07-31,108.53
1975-08-29,107.51
1975-09-30,106.75
1975-10-31,111.12
1975-11-28,110.6
1975-12-31,113.74
1976-01-30,115.61
1976-02-27,116.83
1976-03-31,118.45
1976-04-30,118.87
1976-05-28,116.93
1976-05-31,116.93
1976-06-30,119.23
1976-07-30,120.16
1976-08-31,122.4
1976-09-30,124.59
1976-10-29,125.47
1976-11-30,129.3
1976-12-31,133.58
1977-01-31,129.57
1977-02-28,129.42
1977-03-31,130.35
1977-04-29,131.68
1977-05-31,132.82
1977-06-30,135.22
1977-07-29,134.63
1977-08-31,136.83
1977-09-30,136.75
1977-10-31,135.67
1977-11-30,136.75
1977-12-30,135.31
1978-01-31,134.11
1978-02-28,134.35
1978-03-31,134.6
1978-04-28,134.43
1978-05-31,133.56
1978-06-30,132.86
1978-07-31,134.58
1978-08-31,137.59
1978-09-29,136.74
1978-10-31,133.96
1978-11-30,135.71
1978-12-29,133.81
1979-01-31,136.59
1979-02-28,135.25
1979-03-30,136.65
1979-04-30,135.81
1979-05-31,138.61
1979-06-29,142.58
1979-07-31,142
1979-08-31,141.43
1979-09-28,140.05
1979-10-31,128.27
1979-11-30,132.13
1979-12-31,132.65
1980-01-31,124.18
1980-02-28,114.55
1980-02-29,114.55
1980-03-31,114.71
1980-04-30,131.03
1980-05-30,137.06
1980-06-30,141
1980-07-31,135.78
1980-08-29,129.94
1980-09-30,126.46
1980-10-31,123.49
1980-11-28,124.56
1980-12-31,128.72
1981-01-30,127.55
1981-02-27,122.72
1981-03-31,126.3
1981-04-30,119.58
1981-05-29,127.13
1981-06-30,124.7
1981-07-31,120.78
1981-08-31,115.75
1981-09-30,113.9
1981-10-30,122.35
1981-11-30,135.93
1981-12-31,129.34
1982-01-29,129.59
1982-02-26,132.15
1982-03-31,135.25
1982-04-30,139.9
1982-05-28,141.04
1982-05-31,141.04
1982-06-30,137.78
1982-07-30,144.52
1982-08-31,155.73
1982-09-30,165.71
1982-10-29,179.84
1982-11-30,179.38
1982-12-31,183.76
1983-01-31,178.68
1983-02-28,187.39
1983-03-31,186.4
1983-04-29,193.28
1983-05-31,186.45
1983-06-30,187.22
1983-07-29,178.04
1983-08-31,179
1983-09-30,187.61
1983-10-31,185.36
1983-11-30,188.87
1983-12-30,187.86
1984-01-31,191.66
1984-02-29,188.14
1984-03-30,184.21
1984-04-30,182.05
1984-05-31,172.27
1984-06-29,175
1984-07-31,187.84
1984-08-31,192.75
1984-09-28,198.43
1984-10-31,210.46
1984-11-30,212.83
1984-12-31,215.67
1985-01-31,223.11
1985-02-28,212.53
1985-03-29,219.02
1985-04-30,223.62
1985-05-31,242.91
1985-06-28,245.85
1985-07-31,242.3
1985-08-30,248.6
1985-09-30,248.67
1985-10-31,257.63
1985-11-29,268.47
1985-12-31,283.7
1986-01-31,284.3
1986-02-28,314.12
1986-03-31,340.32
1986-04-30,338.99
1986-05-30,319.57
1986-06-30,339.48
1986-07-31,337.37
1986-08-29,352.93
1986-09-30,339.8
1986-10-31,345.89
1986-11-28,352.24
1986-12-31,352.01
1987-01-30,358.26
1987-02-27,362.89
1987-03-31,356.16
1987-04-30,338.79
1987-05-29,334.78
1987-06-30,338.58
1987-07-31,332.64
1987-08-31,327.1
1987-09-30,312.72
1987-10-30,335.55
1987-11-30,335.88
1987-12-31,342.6
1988-01-29,363.49
1988-02-29,367.54
1988-03-31,356.28
1988-04-29,349.89
1988-05-31,344.5
1988-06-30,359.12
1988-07-29,351.94
1988-08-31,353.43
1988-09-30,366.68
1988-10-31,377.88
1988-11-30,369.39
1988-12-30,374.24
1989-01-31,382.25
1989-02-28,374.38
1989-03-31,378.38
1989-04-28,388.03
1989-05-31,402.39
1989-06-30,425.52
1989-07-31,435.56
1989-08-31,423.89
1989-09-29,425.13
1989-10-31,442.25
1989-11-30,446.3
1989-12-29,445.45
1990-01-31,429.22
1990-02-28,427.95
1990-03-30,426.13
1990-04-30,415.68
1990-05-31,435.22
1990-06-29,445.38
1990-07-31,449.58
1990-08-31,430.35
1990-09-28,435.31
1990-10-31,445.4
1990-11-30,464.21
1990-12-31,473.45
1991-01-31,479.13
1991-02-28,481.42
1991-03-28,483.3
1991-03-29,483.3
1991-04-30,489.43
1991-05-31,489.03
1991-06-28,485.37
1991-07-31,492.99
1991-08-30,510.12
1991-09-30,526.22
1991-10-31,527.04
1991-11-29,529.87
1991-12-31,561.9
1992-01-31,544.27
1992-02-28,547.59
1992-03-31,541.66
1992-04-30,541.04
1992-05-29,556.4
1992-06-30,564.24
1992-07-31,587.9
1992-08-31,591.94
1992-09-30,600.89
1992-10-30,588.29
1992-11-30,590.98
1992-12-31,607.37
1993-01-29,624.66
1993-02-26,645.91
1993-03-31,647.48
1993-04-30,652.25
1993-05-28,654.41
1993-05-31,654.41
1993-06-30,682.25
1993-07-30,693.7
1993-08-31,722.19
1993-09-30,724.55
1993-10-29,729.88
1993-11-30,710.97
1993-12-31,713.2
1994-01-31,730.25
1994-02-28,700.34
1994-03-01,691.77
1994-03-02,691.91
1994-03-03,688.55
1994-03-04,688.55
1994-03-07,692.33
1994-03-08,688.9
1994-03-09,689.39
1994-03-10,682.1
1994-03-11,684.77
1994-03-14,683.86
1994-03-15,685.75
1994-03-16,691.7
1994-03-17,691.07
1994-03-18,684.84
1994-03-21,682.94
1994-03-22,689.67
1994-03-23,689.39
1994-03-24,680.14
1994-03-25,678.81
1994-03-28,679.93
1994-03-29,674.54
1994-03-30,670.34
1994-03-31,669.51
1994-04-04,649.87
1994-04-05,659.91
1994-04-06,661.99
1994-04-07,664.93
1994-04-08,661.05
1994-04-11,663.13
1994-04-12,666.74
1994-04-13,662.12
1994-04-14,660.18
1994-04-15,660.31
1994-04-18,653.02
1994-04-19,656.23
1994-04-20,658.84
1994-04-21,667.01
1994-04-22,666.67
1994-04-25,672.5
1994-04-26,673.91
1994-04-28,663.06
1994-04-29,661.54
1994-05-02,660.99
1994-05-03,659.34
1994-05-04,659.4
1994-05-05,660.99
1994-05-06,648.29
1994-05-09,642.53
1994-05-10,651.73
1994-05-11,645.18
1994-05-12,647.16
1994-05-13,651.86
1994-05-16,655.04
1994-05-17,664.76
1994-05-18,666.68
1994-05-19,669.39
1994-05-20,664.7
1994-05-23,655.9
1994-05-24,658.74
1994-05-25,660.59
1994-05-26,660.99
1994-05-27,659.27
1994-05-31,656.99
1994-06-01,661.04
1994-06-02,663.53
1994-06-03,669.91
1994-06-06,674.11
1994-06-07,671.68
1994-06-08,669.84
1994-06-09,670.43
1994-06-10,667.74
1994-06-13,665.7
1994-06-14,669.71
1994-06-15,662.81
1994-06-16,664.72
1994-06-17,659.86
1994-06-20,659.2
1994-06-21,656.96
1994-06-22,663.8
1994-06-23,664.65
1994-06-24,657.1
1994-06-27,661.7
1994-06-28,656.5
1994-06-29,657.95
1994-06-30,650.57
1994-07-01,651.52
1994-07-05,653.41
1994-07-06,652.89
1994-07-07,653.73
1994-07-08,647.36
1994-07-11,645.73
1994-07-12,648.73
1994-07-13,649.44
1994-07-14,659.46
1994-07-15,658.87
1994-07-18,662.39
1994-07-19,665.58
1994-07-20,659.85
1994-07-21,659.98
1994-07-22,659.53
1994-07-25,662
1994-07-26,661.09
1994-07-27,657.7
1994-07-28,661.48
1994-07-29,672.82
1994-08-01,671.45
1994-08-02,672.19
1994-08-03,673.27
1994-08-04,671.99
1994-08-05,662.7
1994-08-08,664.05
1994-08-09,661.42
1994-08-10,661.36
1994-08-11,656.71
1994-08-12,661.02
1994-08-15,660.35
1994-08-16,667.95
1994-08-17,669.43
1994-08-18,661.42
1994-08-19,661.83
1994-08-22,658.26
1994-08-23,660.08
1994-08-24,665.26
1994-08-25,659.94
1994-08-26,663.98
1994-08-29,663.64
1994-08-30,666.47
1994-08-31,667.63
1994-09-01,667.27
1994-09-02,664.47
1994-09-06,661.86
1994-09-07,659.93
1994-09-08,660.13
1994-09-09,650.78
1994-09-12,650.98
1994-09-13,652.45
1994-09-14,654.25
1994-09-15,656.72
1994-09-16,647.58
1994-09-19,650.31
1994-09-20,648.64
1994-09-21,647.24
1994-09-22,648.64
1994-09-23,647.91
1994-09-26,648.04
1994-09-27,644.91
1994-09-28,647.58
1994-09-29,644.77
1994-09-30,646.52
1994-10-03,644.49
1994-10-04,643.07
1994-10-05,639.45
1994-10-06,639.06
1994-10-07,642.36
1994-10-11,646.04
1994-10-12,644.62
1994-10-13,648.05
1994-10-14,649.34
1994-10-17,649.6
1994-10-18,648.24
1994-10-19,646.04
1994-10-20,639.84
1994-10-21,641.32
1994-10-24,638.8
1994-10-25,637.77
1994-10-26,637.77
1994-10-27,638.35
1994-10-28,643.78
1994-10-31,644.13
1994-11-01,638.18
1994-11-02,636.76
1994-11-03,635.73
1994-11-04,632.25
1994-11-07,632.7
1994-11-08,635.41
1994-11-09,638.31
1994-11-10,635.09
1994-11-14,639.14
1994-11-15,641.91
1994-11-16,638.37
1994-11-17,635.92
1994-11-18,636.31
1994-11-21,636.76
1994-11-22,638.69
1994-11-23,648.68
1994-11-25,649.9
1994-11-28,647.33
